,word,cluster0,cluster1,cluster2,cluster3,cluster4
2569,eight,0.009899880154627385,0.0,0.0,0.0013699787841949503,0.06027917499641414
2599,elmore,0.0,0.0,0.0,0.05932311984058221,0.0
2663,enjoy,0.03169730819983808,0.0602997292684883,0.07554566013357719,0.07603059268475439,0.028592752984361796
2691,entrance,0.01760961566657671,0.020099909756162767,0.020603361854611958,0.025343530894918125,0.05718550596872359
2878,fairhaven,0.0,0.0,0.0,0.0,0.060005102779833445
2888,falls,0.012492136925670113,0.0,0.08119932954377998,0.019591978820757687,0.008451457055373908
3002,find,0.038741154466468766,0.044219801463558084,0.020603361854611958,0.05068706178983625,0.028592752984361796
3016,fire,0.007043846266630684,0.016079927804930214,0.006867787284870653,0.021444526141853798,0.050037317722633146
3024,first,0.05987269326636081,0.03617983756109298,0.04807451099409457,0.06823258317862572,0.06433369421481404
3104,food,0.014087692533261368,0.020099909756162767,0.041206723709223916,0.025343530894918125,0.06433369421481404
3149,former,0.024653461933207395,0.020099909756162767,0.06181008556383588,0.030217286836248535,0.021444564738271346
3272,gardens,0.05282884699973013,0.0602997292684883,0.013735574569741307,0.042889052283707596,0.04288912947654269
3386,good,0.08804807833288356,0.06833969317095341,0.04807451099409457,0.04191430109544152,0.08577825895308538
3420,grass,0.003521923133315342,0.028139873658627874,0.027471149139482613,0.015596019012257309,0.06433369421481404
3423,grassland,0.004949940077313693,0.0,0.0,0.009589851489364653,0.05023264583034512
3498,gully,0.004164045641890038,0.0,0.06495946363502399,0.012677162766372622,0.05070874233224345
3525,hall,0.038741154466468766,0.028139873658627874,0.03433893642435327,0.04483855466023976,0.07148188246090449
3587,haven,0.0,0.0,0.00965243539879461,0.0013699787841949503,0.05023264583034512
3730,home,0.05987269326636081,0.08039963902465107,0.07554566013357719,0.047762808225038006,0.05718550596872359
3782,house,0.05635077013304547,0.044219801463558084,0.027471149139482613,0.03314154040104678,0.050037317722633146
3908,including,0.04226307759978411,0.0602997292684883,0.06181008556383588,0.03704054515411111,0.04288912947654269
4060,it,0.028175385066522736,0.0602997292684883,0.04807451099409457,0.03899004753064327,0.021444564738271346
4225,knox,0.0,0.06806421106631265,0.0,0.029707150070883113,0.0
4253,lake,0.07748230893293753,0.10451953073204638,0.09614902198818914,0.08675285575568129,0.035740941230452246
4287,large,0.05282884699973013,0.04823978341479064,0.027471149139482613,0.02729303327145029,0.04288912947654269
4349,left,0.05987269326636081,0.03215985560986043,0.06181008556383588,0.03899004753064327,0.04288912947654269
4401,like,0.03521923133315342,0.05627974731725575,0.09614902198818914,0.05068706178983625,0.021444564738271346
4441,little,0.05635077013304547,0.0602997292684883,0.041206723709223916,0.04483855466023976,0.04288912947654269
4456,local,0.06339461639967615,0.044219801463558084,0.041206723709223916,0.07018208555515788,0.07863007070699495
4464,lock,0.004949940077313693,0.0,0.0,0.004109936352584851,0.05023264583034512
4482,lonsdale,0.0,0.0,0.0,0.001650397226160173,0.08472054342485849
4509,lovely,0.04930692386641479,0.040199819512325534,0.020603361854611958,0.04581330584850585,0.050037317722633146
4573,main,0.04226307759978411,0.01205994585369766,0.020603361854611958,0.03704054515411111,0.07148188246090449
4800,mildura,0.014087692533261368,0.016079927804930214,0.013735574569741307,0.0321667892127807,0.10722282369135673
4975,murray,0.004949940077313693,0.0,0.0,0.021919660547119205,0.08037223332855219
5018,native,0.028175385066522736,0.0602997292684883,0.013735574569741307,0.04483855466023976,0.050037317722633146
5137,number,0.01760961566657671,0.03617983756109298,0.06867787284870654,0.02729303327145029,0.050037317722633146
5217,opened,0.014087692533261368,0.016079927804930214,0.054942298278965226,0.03606579396584503,0.028592752984361796
5406,past,0.01760961566657671,0.02411989170739532,0.054942298278965226,0.019495023765321636,0.007148188246090449
5478,people,0.024653461933207395,0.06833969317095341,0.06867787284870654,0.057510320107698826,0.050037317722633146
5602,place,0.0915700014661989,0.10853951268327894,0.04807451099409457,0.08382860219088303,0.07863007070699495
5623,platform,0.020820228209450193,0.02376455659432436,0.05683953068064598,0.006914816054385066,0.0
5626,play,0.010565769399946027,0.08441962097588361,0.03433893642435327,0.04483855466023976,0.04288912947654269
5664,point,0.07043846266630684,0.044219801463558084,0.054942298278965226,0.057510320107698826,0.05718550596872359
5882,public,0.03169730819983808,0.0602997292684883,0.041206723709223916,0.05166181297810234,0.050037317722633146
6207,reserve,0.03169730819983808,0.09245958487834872,0.020603361854611958,0.08285385100261695,0.07148188246090449
6230,rest,0.024653461933207395,0.020099909756162767,0.027471149139482613,0.02729303327145029,0.07148188246090449
6289,right,0.024653461933207395,0.03215985560986043,0.06867787284870654,0.05068706178983625,0.07148188246090449
6413,rupanyup,0.04454946069582323,0.0,0.0,0.005479915136779801,0.06027917499641414
6514,school,0.03169730819983808,0.02411989170739532,0.08928123470331849,0.030217286836248535,0.014296376492180898
6726,shops,0.04580450206079042,0.0,0.008119932954377998,0.019591978820757687,0.05070874233224345
6730,short,0.014087692533261368,0.016079927804930214,0.054942298278965226,0.012671765447459063,0.014296376492180898
6775,significant,0.012492136925670113,0.009505822637729745,0.0,0.008067285396782578,0.05070874233224345
